###Format is name, language as an iteger (from megamek's masterancestry.txt file)
Beardsley, 1
Beasley, 1
Beason, 1
Beath, 1
Beaton, 1
Beatrix, 1
Beattey, 1
Beattie, 1
Beatty, 1
Beaty, 1
Beauclerc, 1
Beauclerk, 1
Beaudoin, 1
Beaudry, 1
Beaufort, 1
Beaulieu, 1
Beaumont, 1
Beauregard, 1
Beaver, 1
Beavis, 1
Beazley, 1
Bebb, 1
Bebbington, 1
Bechenoe, 1
Bechtel, 1
Bechtold, 1
Beck, 1
Becker, 1
Beckett, 1
Beckford, 1
Beckham, 1
Beckley, 1
Beckman, 1
Beckmann, 1
Beckner, 1
Beckstead, 1
Beckwith, 1
Becnel, 1
Becton, 1
Bedard, 1
Beddall, 1
Beddoes, 1
Bedell, 1
Bedford, 1
Bedingfield, 1
Bednar, 1
Bedser, 1
Bedwell, 1
Bee, 1
Beebe, 1
Beeby, 1
Beech, 1
Beecher, 1
Beechey, 1
Beecroft, 1
Beedell, 1
Beedle, 1
Beeler, 1
Beeman, 1
Beene, 1
Beer, 1
Beers, 1
Beery, 1
Beesley, 1
Beeson, 1
Beever, 1
Beevers, 1
Begg, 1
Beggar, 1
Beggs, 1
Begley, 1
Behling, 1
Behm, 1
Behn, 1
Behnke, 1
Behr, 1
Behrens, 1
Beier, 1
Beigbeder, 1
Beiler, 1
Beimer, 1
Belcham, 1
Belcher, 1
Belden, 1
Belew, 1
Belgrove, 1
Belisle, 1
Belk, 1
Belknap, 1
Bell, 1
Bellairs, 1
Bellamy, 1
Bellars, 1
Belle, 1
Bellenden, 1
Beller, 1
Bellew, 1
Bellinger, 1
Bellingham, 1
Belliveau, 1
Bellows, 1
Bellshaw, 1
Belmont, 1
Belsey, 1
Belshaw, 1
Belt, 1
Belton, 1
Bemis, 1
Benally, 1
Benbow, 1
Bench, 1
Bendall, 1
Bender, 1
Benedict, 1
Benefield, 1
Benfield, 1
Benford, 1
Benge, 1
Bengtson, 1
Benham, 1
Beniniger, 1
Benjamin, 1
Benn, 1
Benner, 1
Bennet, 1
Bennett, 1
Benney, 1
Benning, 1
Bennington, 1
Bennion, 1
Bennis, 1
Bennison, 1
Benson, 1
Benstead, 1
Bensted, 1
Bent, 1
Bentall, 1
Benthall, 1
Bentham, 1
Bentinck, 1
Bentley, 1
Benton, 1
Bentz, 1
Benz, 1
Berard, 1
Berenger, 1
Bereridge, 1
Beresford, 1
Berg, 1
Berge, 1
Bergen, 1
Berger, 1
Bergeron, 1
Bergheim, 1
Bergheimer, 1
Bergin, 1
Berglund, 1
Bergman, 1
Bergquist, 1
Bergstrom, 1
Berk, 1
Berkeley, 1
Berkey, 1
Berkley, 1
Berlin, 1
Berman, 1
Bernard, 1
Berndt, 1
Berner, 1
Bernhardt, 1
Berny, 1
Berose, 1
Berra, 1
Berridge, 1
Berriman, 1
Berrow, 1
Berry, 1
Berryhill, 1
Berryman, 1
Bertram, 1
Bertrand, 1
Besent, 1
Besley, 1
Bessent, 1
Best, 1
Bethel, 1
Bethune, 1
Beton, 1
Bett, 1
Betteridge, 1
Bettinson, 1
Bettis, 1
Bevan, 1
Beveridge, 1
Beverly, 1
Beville, 1
Bevins, 1
Bevis, 1
Bewick, 1
Bewley, 1
Beynon, 1
Bibb, 1
Bibbs, 1
Bibby, 1
Bice, 1
Bickel, 1
Bickerstaff, 1
Bickersteth, 1
Bickerton, 1
Bickett, 1
Bickford, 1
Bickle, 1
Bickley, 1
Bickly, 1
Bicknell, 1
Bidder, 1
Biddick, 1
Biddle, 1
Biddulph, 1
Bidwell, 1
Bieber, 1
Bierman, 1
Biffen, 1
Biffle, 1
Bigelow, 1
Bigger, 1
Biggers, 1
Biggerstaff, 1
Biggin, 1
Biggio, 1
Biggs, 1
Bigham, 1
Bigler, 1
Bigley, 1
Bignell, 1
Bignold, 1
Bihar, 1
Bilbrey, 1
Biles, 1
Bill, 1
Billage, 1
Biller, 1
Billings, 1
Billingsley, 1
Billington, 1
Billiot, 1
Billman, 1
Bills, 1
Billups, 1
Billyard, 1
Binder, 1
Binette, 1
Binford, 1
Bing, 1
Bingaman, 1
Binge, 1
Bingham, 1
Bingley, 1
Bingman, 1
Binion, 1
Binkley, 1
Binney, 1
Binnie, 1
Binning, 1
Binns, 1
Binyon, 1
Birch, 1
Birchfield, 1
Bird, 1
Birdsall, 1
Birdsong, 1
Birdwell, 1
Birkenshaw, 1
Birkholz, 1
Birling, 1
Birmingham, 1
Birrell, 1
Birse, 1
Birstall, 1
Birt, 1
Birtles, 1
Bischoff, 1
Bisdee, 1
Bish, 1
Bishop, 1
Bissell, 1
Bisset, 1
Bissett, 1
Bisshopp, 1
Bisson, 1
Bissonnette, 1
Bithery, 1
Bitner, 1
Bittle, 1
Bittner, 1
Bivens, 1
Bivins, 1
Bixby, 1
Bixler, 1
Bjork, 1
Black, 1
Blackadder, 1
Blackburn, 1
Blackden, 1
Blackett, 1
Blackford, 1
Blackman, 1
Blackmon, 1
Blackmore, 1
Blackshaw, 1
Blackshear, 1
Blackstock, 1
Blackstone, 1
Blackwell, 1
Blackwill, 1
Blackwood, 1
Blades, 1
Blaikie, 1
Blain, 1
Blaine, 1
Blair, 1
